Serial No.,Make,Model,Year,Fuel Type Group,Engine HP,Engine Cylinders,Transmission Type,Driving Wheels,Number of Doors,Market Category,Vehicle Size,Vehicle Style,Highway Mileage (mpg),City Mileage (mpg),Popularity Rating,MSRP
59,Audi,200,1991,unleaded,162,5,AUTOMATIC,front wheel drive,4,Luxury,Midsize,Sedan,20,16,3105,2000
60,Chrysler,200,2015,flex-fuel,184,4,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Sedan,36,23,1013,25170
61,Chrysler,200,2015,flex-fuel,184,4,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Sedan,36,23,1013,23950
62,Chrysler,200,2015,flex-fuel,295,6,AUTOMATIC,all wheel drive,4,Flex Fuel,Midsize,Sedan,29,18,1013,29370
63,Chrysler,200,2015,flex-fuel,184,4,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Sedan,36,23,1013,21995
64,Chrysler,200,2015,flex-fuel,184,4,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Sedan,36,23,1013,26625
65,Chrysler,200,2015,flex-fuel,295,6,AUTOMATIC,all wheel drive,4,Flex Fuel,Midsize,Sedan,29,18,1013,30825
66,Chrysler,200,2016,flex-fuel,184,4,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Sedan,36,23,1013,21995
67,Chrysler,200,2016,flex-fuel,184,4,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Sedan,36,23,1013,27795
68,Chrysler,200,2016,flex-fuel,295,6,AUTOMATIC,all wheel drive,4,Flex Fuel,Midsize,Sedan,29,18,1013,31785
69,Chrysler,200,2016,flex-fuel,295,6,AUTOMATIC,all wheel drive,4,Flex Fuel,Midsize,Sedan,29,18,1013,29905
70,Chrysler,200,2016,flex-fuel,184,4,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Sedan,36,23,1013,22490
71,Chrysler,200,2016,flex-fuel,184,4,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Sedan,36,23,1013,27570
72,Chrysler,200,2016,flex-fuel,184,4,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Sedan,36,23,1013,25690
73,Chrysler,200,2016,flex-fuel,184,4,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Sedan,36,23,1013,24490
74,Chrysler,200,2017,flex-fuel,295,6,AUTOMATIC,all wheel drive,4,Flex Fuel,Midsize,Sedan,28,18,1013,29905
75,Chrysler,200,2017,flex-fuel,295,6,AUTOMATIC,all wheel drive,4,Flex Fuel,Midsize,Sedan,28,18,1013,31785
76,Chrysler,200,2017,flex-fuel,184,4,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Sedan,36,23,1013,26685
77,Chrysler,200,2017,flex-fuel,184,4,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Sedan,36,23,1013,22490
78,Chrysler,200,2017,flex-fuel,184,4,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Sedan,36,23,1013,25690
79,Chrysler,200,2017,flex-fuel,295,6,AUTOMATIC,all wheel drive,4,Flex Fuel,Midsize,Sedan,28,18,1013,30900
80,Chrysler,200,2017,flex-fuel,184,4,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Sedan,36,23,1013,27795
81,Chrysler,200,2017,flex-fuel,184,4,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Sedan,36,23,1013,21995
82,Chrysler,200,2017,flex-fuel,184,4,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Sedan,36,23,1013,24490
83,Nissan,200SX,1996,unleaded,115,4,MANUAL,front wheel drive,2,Miscellaneous,Compact,Coupe,36,26,2009,2000
84,Nissan,200SX,1996,unleaded,140,4,MANUAL,front wheel drive,2,Performance,Compact,Coupe,29,21,2009,2000
85,Nissan,200SX,1997,unleaded,140,4,MANUAL,front wheel drive,2,Performance,Compact,Coupe,29,21,2009,2000
86,Nissan,200SX,1997,unleaded,115,4,MANUAL,front wheel drive,2,Miscellaneous,Compact,Coupe,35,25,2009,2000
87,Nissan,200SX,1998,unleaded,115,4,MANUAL,front wheel drive,2,Miscellaneous,Compact,Coupe,35,25,2009,2000
88,Nissan,200SX,1998,unleaded,140,4,MANUAL,front wheel drive,2,Performance,Compact,Coupe,28,20,2009,2073
89,Nissan,240SX,1996,unleaded,155,4,MANUAL,rear wheel drive,2,Performance,Compact,Coupe,26,19,2009,3713
90,Nissan,240SX,1996,unleaded,155,4,MANUAL,rear wheel drive,2,Performance,Compact,Coupe,26,19,2009,3520
91,Nissan,240SX,1997,unleaded,155,4,MANUAL,rear wheel drive,2,Performance,Compact,Coupe,26,19,2009,3910
92,Nissan,240SX,1997,unleaded,155,4,MANUAL,rear wheel drive,2,Performance,Compact,Coupe,26,19,2009,4182
93,Nissan,240SX,1997,unleaded,155,4,MANUAL,rear wheel drive,2,Performance,Compact,Coupe,26,19,2009,4107
94,Nissan,240SX,1998,unleaded,155,4,MANUAL,rear wheel drive,2,Performance,Compact,Coupe,25,20,2009,4299
95,Nissan,240SX,1998,unleaded,155,4,MANUAL,rear wheel drive,2,Performance,Compact,Coupe,25,20,2009,4693
96,Nissan,240SX,1998,unleaded,155,4,MANUAL,rear wheel drive,2,Performance,Compact,Coupe,25,20,2009,4107
97,Volvo,240,1991,unleaded,114,4,MANUAL,rear wheel drive,4,Luxury,Midsize,Wagon,26,19,870,2000
98,Volvo,240,1991,unleaded,114,4,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Wagon,23,18,870,2000
99,Volvo,240,1991,unleaded,114,4,MANUAL,rear wheel drive,4,Luxury,Midsize,Sedan,26,19,870,2000
100,Volvo,240,1992,unleaded,114,4,MANUAL,rear wheel drive,4,Luxury,Midsize,Sedan,26,19,870,2000
101,Volvo,240,1992,unleaded,114,4,MANUAL,rear wheel drive,4,Luxury,Midsize,Wagon,26,19,870,2000
102,Volvo,240,1993,unleaded,114,4,MANUAL,rear wheel drive,4,Luxury,Midsize,Sedan,26,19,870,2000
103,Volvo,240,1993,unleaded,114,4,MANUAL,rear wheel drive,4,Luxury,Midsize,Wagon,25,18,870,2000
104,Mazda,2,2012,unleaded,100,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,35,29,586,16020
105,Mazda,2,2012,unleaded,100,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,35,29,586,14530
106,Mazda,2,2012,unleaded,100,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,34,28,586,16860
107,Mazda,2,2012,unleaded,100,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,34,28,586,15370
108,Mazda,2,2013,unleaded,100,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,34,28,586,17050
109,Mazda,2,2013,unleaded,100,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,34,28,586,15560
110,Mazda,2,2013,unleaded,100,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,35,29,586,16210
111,Mazda,2,2013,unleaded,100,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,35,29,586,14720
112,Mazda,2,2014,unleaded,100,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,34,28,586,17050
113,Mazda,2,2014,unleaded,100,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,34,28,586,15560
114,Mazda,2,2014,unleaded,100,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,35,29,586,16210
115,Mazda,2,2014,unleaded,100,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,35,29,586,14720
116,BMW,3 Series Gran Turismo,2015,unleaded,300,6,AUTOMATIC,all wheel drive,4,Hatchback,Midsize,4dr Hatchback,30,20,3916,47250
117,BMW,3 Series Gran Turismo,2015,unleaded,240,4,AUTOMATIC,all wheel drive,4,Hatchback,Midsize,4dr Hatchback,33,22,3916,41850
118,BMW,3 Series Gran Turismo,2016,unleaded,240,4,AUTOMATIC,all wheel drive,4,Hatchback,Midsize,4dr Hatchback,34,22,3916,43000
119,BMW,3 Series Gran Turismo,2016,unleaded,300,6,AUTOMATIC,all wheel drive,4,Hatchback,Midsize,4dr Hatchback,30,20,3916,49200
120,BMW,3 Series Gran Turismo,2017,unleaded,320,6,AUTOMATIC,all wheel drive,4,Hatchback,Midsize,4dr Hatchback,30,20,3916,49650
121,BMW,3 Series Gran Turismo,2017,unleaded,248,4,AUTOMATIC,all wheel drive,4,Hatchback,Midsize,4dr Hatchback,33,23,3916,43950
122,BMW,3 Series,2015,unleaded,241,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Wagon,33,22,3916,41950
123,BMW,3 Series,2015,unleaded,335,6,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Sedan,33,25,3916,50150
124,BMW,3 Series,2015,unleaded,240,4,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Sedan,35,23,3916,37500
125,BMW,3 Series,2015,unleaded,300,6,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Sedan,32,21,3916,43750
126,BMW,3 Series,2015,diesel,180,4,AUTOMATIC,rear wheel drive,4,Diesel,Midsize,Sedan,45,32,3916,39000
127,BMW,3 Series,2015,unleaded,240,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,33,22,3916,39500
128,BMW,3 Series,2015,unleaded,180,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,35,23,3916,34950
129,BMW,3 Series,2015,unleaded,300,6,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,30,20,3916,45750
130,BMW,3 Series,2015,diesel,180,4,AUTOMATIC,all wheel drive,4,Diesel,Midsize,Wagon,43,31,3916,43450
131,BMW,3 Series,2015,diesel,180,4,AUTOMATIC,all wheel drive,4,Diesel,Midsize,Sedan,43,31,3916,41000
132,BMW,3 Series,2015,unleaded,180,4,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Sedan,36,24,3916,32950
133,BMW,3 Series,2016,diesel,180,4,AUTOMATIC,all wheel drive,4,Diesel,Midsize,Sedan,40,30,3916,41850
134,BMW,3 Series,2016,unleaded,320,6,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,33,22,3916,47800
135,BMW,3 Series,2016,diesel,180,4,AUTOMATIC,rear wheel drive,4,Diesel,Midsize,Sedan,42,32,3916,39850
136,BMW,3 Series,2016,unleaded,240,4,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Sedan,34,22,3916,38350
137,BMW,3 Series,2016,unleaded,240,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,34,22,3916,40350
138,BMW,3 Series,2016,unleaded,240,4,MANUAL,rear wheel drive,4,Luxury,Midsize,Sedan,34,22,3916,38350
139,BMW,3 Series,2016,unleaded,240,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Wagon,34,22,3916,42650
140,BMW,3 Series,2016,unleaded,180,4,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Sedan,36,24,3916,33150
141,BMW,3 Series,2016,unleaded,180,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,35,23,3916,35150
142,BMW,3 Series,2016,diesel,180,4,AUTOMATIC,all wheel drive,4,Diesel,Midsize,Wagon,40,30,3916,44150
143,BMW,3 Series,2016,unleaded,320,6,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Sedan,33,22,3916,45800
144,BMW,3 Series,2017,unleaded,248,4,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Sedan,34,23,3916,38750
145,BMW,3 Series,2017,unleaded,180,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,34,23,3916,35450
146,BMW,3 Series,2017,unleaded,180,4,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Sedan,35,23,3916,33450
147,BMW,3 Series,2017,unleaded,248,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,33,23,3916,40750
148,BMW,3 Series,2017,diesel,180,4,AUTOMATIC,all wheel drive,4,Diesel,Midsize,Sedan,40,30,3916,42250
149,BMW,3 Series,2017,unleaded,248,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Wagon,33,23,3916,42950
150,BMW,3 Series,2017,diesel,180,4,AUTOMATIC,rear wheel drive,4,Diesel,Midsize,Sedan,42,32,3916,40250
151,BMW,3 Series,2017,unleaded,320,6,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,31,21,3916,49900
152,BMW,3 Series,2017,unleaded,320,6,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Sedan,32,21,3916,47900
153,BMW,3 Series,2017,diesel,180,4,AUTOMATIC,all wheel drive,4,Diesel,Midsize,Wagon,40,30,3916,44450
154,Mercedes-Benz,300-Class,1991,unleaded,177,6,AUTOMATIC,rear wheel drive,4,Luxury,Large,Sedan,19,15,617,2232
155,Mercedes-Benz,300-Class,1991,unleaded,177,6,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Wagon,20,15,617,2000
156,Mercedes-Benz,300-Class,1991,unleaded,158,6,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Sedan,22,17,617,2000
157,Mercedes-Benz,300-Class,1991,unleaded,177,6,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,20,15,617,2105
158,Mercedes-Benz,300-Class,1991,unleaded,177,6,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Wagon,18,15,617,2199
159,Mercedes-Benz,300-Class,1991,unleaded,177,6,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Sedan,22,16,617,2000
160,Mercedes-Benz,300-Class,1991,unleaded,177,6,AUTOMATIC,rear wheel drive,4,Luxury,Large,Sedan,19,15,617,2124
161,Mercedes-Benz,300-Class,1991,unleaded,228,6,MANUAL,rear wheel drive,2,Luxury,Compact,Convertible,21,14,617,3552
162,Mercedes-Benz,300-Class,1991,unleaded,217,6,AUTOMATIC,rear wheel drive,2,Luxury,Midsize,Coupe,22,15,617,2179
163,Mercedes-Benz,300-Class,1991,diesel,121,5,AUTOMATIC,rear wheel drive,4,Diesel,Midsize,Sedan,30,23,617,2000
164,Mercedes-Benz,300-Class,1992,diesel,121,5,AUTOMATIC,rear wheel drive,4,Diesel,Midsize,Sedan,29,23,617,2000
165,Mercedes-Benz,300-Class,1992,unleaded,228,6,AUTOMATIC,rear wheel drive,4,Luxury,Large,Sedan,17,14,617,2377
166,Mercedes-Benz,300-Class,1992,unleaded,228,6,MANUAL,rear wheel drive,2,Luxury,Compact,Convertible,21,15,617,3814
167,Mercedes-Benz,300-Class,1992,unleaded,177,6,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,19,15,617,2207
168,Mercedes-Benz,300-Class,1992,unleaded,177,6,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Wagon,20,15,617,2000
169,Mercedes-Benz,300-Class,1992,unleaded,217,6,AUTOMATIC,rear wheel drive,2,Luxury,Midsize,Coupe,21,15,617,2248
170,Mercedes-Benz,300-Class,1992,unleaded,177,6,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Sedan,22,16,617,2065
171,Mercedes-Benz,300-Class,1992,diesel,148,6,AUTOMATIC,rear wheel drive,4,Diesel,Large,Sedan,22,18,617,2547
172,Mercedes-Benz,300-Class,1992,unleaded,177,6,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Wagon,18,15,617,2282
173,Mercedes-Benz,300-Class,1992,unleaded,158,6,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Sedan,23,18,617,2000
174,Mercedes-Benz,300-Class,1993,unleaded,177,6,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Wagon,19,15,617,2544
175,Mercedes-Benz,300-Class,1993,unleaded,217,6,AUTOMATIC,rear wheel drive,2,Luxury,Midsize,Coupe,22,17,617,2397
176,Mercedes-Benz,300-Class,1993,diesel,121,5,AUTOMATIC,rear wheel drive,4,Diesel,Midsize,Sedan,30,23,617,2000
177,Mercedes-Benz,300-Class,1993,unleaded,228,6,MANUAL,rear wheel drive,2,Luxury,Compact,Convertible,21,14,617,4174
178,Mercedes-Benz,300-Class,1993,unleaded,217,6,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Sedan,22,17,617,2187
179,Mercedes-Benz,300-Class,1993,diesel,148,6,AUTOMATIC,rear wheel drive,4,Diesel,Large,Sedan,22,18,617,2729
180,Mercedes-Benz,300-Class,1993,unleaded,177,6,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,19,15,617,2433
181,Mercedes-Benz,300-Class,1993,unleaded,194,6,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Sedan,23,17,617,2247
182,Mercedes-Benz,300-Class,1993,unleaded,228,6,AUTOMATIC,rear wheel drive,4,Luxury,Large,Sedan,18,14,617,2540
183,Mitsubishi,3000GT,1997,unleaded,218,6,MANUAL,front wheel drive,2,Hatchback,Compact,2dr Hatchback,23,17,436,3941
184,Mitsubishi,3000GT,1997,unleaded,161,6,MANUAL,front wheel drive,2,Hatchback,Compact,2dr Hatchback,22,17,436,3295
185,Mitsubishi,3000GT,1997,unleaded,320,6,MANUAL,all wheel drive,2,Hatchback,Compact,2dr Hatchback,22,16,436,6008
186,Mitsubishi,3000GT,1998,unleaded,320,6,MANUAL,all wheel drive,2,Hatchback,Compact,2dr Hatchback,22,16,436,6710
187,Mitsubishi,3000GT,1998,unleaded,161,6,MANUAL,front wheel drive,2,Hatchback,Compact,2dr Hatchback,22,17,436,3701
188,Mitsubishi,3000GT,1998,unleaded,218,6,MANUAL,front wheel drive,2,Hatchback,Compact,2dr Hatchback,23,17,436,4671
189,Mitsubishi,3000GT,1999,unleaded,218,6,MANUAL,front wheel drive,2,Hatchback,Compact,2dr Hatchback,23,17,436,5306
190,Mitsubishi,3000GT,1999,unleaded,320,6,MANUAL,all wheel drive,2,Hatchback,Compact,2dr Hatchback,22,16,436,7600
191,Mitsubishi,3000GT,1999,unleaded,161,6,MANUAL,front wheel drive,2,Hatchback,Compact,2dr Hatchback,22,17,436,4090
192,Chrysler,300,2015,unleaded,300,6,AUTOMATIC,all wheel drive,4,Miscellaneous,Large,Sedan,27,18,1013,37570
193,Chrysler,300,2015,unleaded,292,6,AUTOMATIC,rear wheel drive,4,Miscellaneous,Large,Sedan,31,19,1013,31695
194,Chrysler,300,2015,unleaded,292,6,AUTOMATIC,rear wheel drive,4,Miscellaneous,Large,Sedan,31,19,1013,38070
195,Chrysler,300,2015,unleaded,292,6,AUTOMATIC,all wheel drive,4,Miscellaneous,Large,Sedan,27,18,1013,44895
196,Chrysler,300,2015,unleaded,300,6,AUTOMATIC,rear wheel drive,4,Performance,Large,Sedan,31,19,1013,35070
197,Chrysler,300,2015,unleaded,292,6,AUTOMATIC,rear wheel drive,4,Performance,Large,Sedan,31,19,1013,42395
198,Chrysler,300,2015,unleaded,292,6,AUTOMATIC,all wheel drive,4,Miscellaneous,Large,Sedan,27,18,1013,34195
199,Chrysler,300,2015,unleaded,292,6,AUTOMATIC,all wheel drive,4,Miscellaneous,Large,Sedan,27,18,1013,40570
200,Chrysler,300,2016,unleaded,300,6,AUTOMATIC,all wheel drive,4,Miscellaneous,Large,Sedan,27,18,1013,38095
201,Chrysler,300,2016,unleaded,300,6,AUTOMATIC,rear wheel drive,4,Performance,Large,Sedan,31,19,1013,35595
202,Chrysler,300,2016,unleaded,292,6,AUTOMATIC,all wheel drive,4,Miscellaneous,Large,Sedan,27,18,1013,45190
203,Chrysler,300,2016,unleaded,292,6,AUTOMATIC,rear wheel drive,4,Miscellaneous,Large,Sedan,31,19,1013,32260
204,Chrysler,300,2016,unleaded,292,6,AUTOMATIC,all wheel drive,4,Miscellaneous,Large,Sedan,27,18,1013,37755
205,Chrysler,300,2016,unleaded,292,6,AUTOMATIC,all wheel drive,4,Miscellaneous,Large,Sedan,27,18,1013,41055
206,Chrysler,300,2016,unleaded,300,6,AUTOMATIC,rear wheel drive,4,Performance,Large,Sedan,31,19,1013,36090
